InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
537359,22469,HEART OF WICKER SMALL,22,2024-01-26 13:12,11.32,12813.0,Netherlands
538693,71053,WHITE METAL LANTERN,46,2024-12-06 23:36,19.71,14324.0,United Kingdom
537160,22086,PAPER CHAIN KIT 50'S CHRISTMAS,4,2024-04-26 05:36,4.64,16563.0,United Kingdom
538035,22960,JAM MAKING SET WITH JARS,1,2024-02-20 03:50,16.74,16806.0,Switzerland
536671,21931,JUMBO STORAGE BAG SUKI,45,2024-05-28 10:54,4.47,15363.0,United Kingdom
538523,21485,RETROSPOT HEART HOT WATER BOTTLE,9,2024-06-05 08:54,5.23,,United Kingdom
539000,21730,GLASS STAR FROSTED T-LIGHT HOLDER,15,2024-04-12 12:12,£19.87,17038.0,United Kingdom
538263,84991,60 TEATIME FAIRY CAKE CASES,30,2024-03-28 09:44,1.13,15000.0,United Kingdom
538969,21730,GLASS STAR FROSTED T-LIGHT HOLDER,43,2024-08-27 17:06,£3.49,,United Kingdom
538151,22728,ALARM CLOCK BAKELIKE PINK,19,2024-08-16 15:48,1.69,15926.0,United Kingdom
538424,21931,JUMBO STORAGE BAG SUKI,27,2024-12-22 04:30,2.98,12855.0,United Kingdom
538408,22197,POPCORN HOLDER,15,2024-09-30 08:35,£19.33,14056.0,Australia
537018,22086,PAPER CHAIN KIT 50'S CHRISTMAS,7,2024-04-07 00:31,11.32,14044.0,United Kingdom
537372,84991,60 TEATIME FAIRY CAKE CASES,41,2024-08-07 09:43,3.88,,United Kingdom
538821,22727,ALARM CLOCK BAKELIKE RED,41,2024-06-19 06:31,9.32,14712.0,Norway
536990,22727,ALARM CLOCK BAKELIKE RED,4,2024-12-10 09:59,21.14,13544.0,United Kingdom
537722,84879,ASSORTED COLOUR BIRD ORNAMENT,34,2024-02-15 18:28,18.83,17584.0,United Kingdom
537237,22138,BAKING SET 9 PIECE RETROSPOT,14,2024-06-30 13:54,11.31,15362.0,United Kingdom
536653,22728,ALARM CLOCK BAKELIKE PINK,26,2024-11-27 05:41,23.63,15525.0,United Kingdom
537885,22632,HAND WARMER UNION JACK,10,2024-08-06 23:31,6.11,16185.0,United Kingdom
538101,22728,ALARM CLOCK BAKELIKE PINK,17,2024-04-12 09:58,21.44,16615.0,United Kingdom
537109,22960,JAM MAKING SET WITH JARS,7,2024-09-13 08:40,14.78,16930.0,Germany
538470,84406B,CREAM CUPID HEARTS COAT HANGER,35,06/26/24 21:02,£17.06,14315.0,United Kingdom
538136,22900,SET 2 TEA TOWELS I LOVE LONDON,21,2024-06-22 17:45,24.67,18224.0,United Kingdom
536448,22138,BAKING SET 9 PIECE RETROSPOT,10,2024-04-06 19:15,19.95,,United Kingdom
537676,21730,GLASS STAR FROSTED T-LIGHT HOLDER,28,2024-08-10 03:11,13.09,17056.0,United Kingdom
538590,22900,SET 2 TEA TOWELS I LOVE LONDON,25,2024-09-28 05:09,21.06,15641.0,United Kingdom
537334,71053,WHITE METAL LANTERN,12,2024-03-08 01:10,1.98,13124.0,United Kingdom
